ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|5db07e724e29a31d4c1ee2f35aa99354|2024-01-02|02:26:45|1704130005|grocery_pos|313.61|1|fraud_Vandervort-Funk|38.154429|-82.679101
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|b7f680881b492c3f3802ccf53c97c053|2024-01-02|03:36:04|1704134164|grocery_pos|356.88|1|fraud_Schultz, Simonis and Little|36.639291|-83.814755
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|d3b48ee6fdd89d87905105cc25214240|2024-01-02|08:57:05|1704153425|misc_pos|771.80|1|fraud_Flatley Group|37.470177|-83.846700
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|96927b17472e4e29a355c9cf237137b9|2024-01-03|22:59:02|1704290342|kids_pets|399.61|1|fraud_Waelchi Inc|36.609071|-83.305583
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|e74bc9bb5689dfd452602b66271d3e77|2024-01-03|23:42:01|1704292921|travel|250.54|1|fraud_Johnston-Casper|37.997194|-83.227511
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|6d6987bf86a633e277515e6571feaf14|2024-01-03|23:32:56|1704292376|kids_pets|221.63|1|fraud_Nolan-Williamson|37.938027|-83.807723
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|c7d17797deebcc342ad34d490242211b|2024-01-03|18:13:31|1704273211|home|254.73|1|fraud_White and Sons|36.468377|-81.896982
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|f63f4ed4084e91e02827b11b5f3aed4d|2024-01-03|23:26:01|1704291961|home|18.98|1|fraud_Durgan, Gislason and Spencer|36.916140|-82.735352
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|e50cd8f20a98d1362ec5d6446601492e|2024-01-03|23:00:20|1704290420|home|16.51|1|fraud_Streich Ltd|37.896262|-81.875074
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|937641dab05cac6f00490a448228b517|2024-01-03|22:52:17|1704289937|entertainment|11.20|1|fraud_Padberg-Rogahn|36.730911|-83.326712
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|bfd98f7cd0c1539c3858f61b79775398|2024-02-18|02:55:08|1708192508|gas_transport|64.90|0|fraud_Huels-Nolan|37.492334|-82.570205
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|967a73d72cc2414d7c5dbf5ebdbcdee5|2024-02-04|10:51:04|1707011464|gas_transport|53.14|0|fraud_Cummerata-Jones|38.052708|-83.762377
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|87f53d429581b8d62c22fd9685e6f36d|2024-05-01|09:12:24|1714522344|grocery_pos|40.51|0|fraud_Deckow-O'Conner|37.524491|-83.571019
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|a55d86213618c1dd92e360676c16e051|2024-02-18|00:38:22|1708184302|gas_transport|115.41|0|fraud_Zieme, Bode and Dooley|37.385376|-82.698888
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|36f56c60d0dfaaaa10b08e4608af34b0|2024-05-09|00:42:56|1715182976|misc_net|48.04|0|fraud_Rodriguez, Yost and Jenkins|37.834728|-83.816607
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|8f6449fb379b642c964206faad39f7e1|2024-03-21|01:36:53|1710952613|grocery_net|41.49|0|fraud_Roob LLC|37.289624|-83.360371
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|4ca229041e1193998aaa2500f3b05327|2024-04-27|10:20:24|1714180824|grocery_pos|63.01|0|fraud_Heller, Gutmann and Zieme|38.203830|-82.450221
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|0a1ba82bcd3e1d6b604d4304e6831feb|2024-04-25|08:53:32|1714002812|grocery_pos|82.42|0|fraud_Hudson-Ratke|36.940398|-82.770066
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|f1bed8c3f65304660738e7c3484e13e9|2024-03-25|05:50:46|1711313446|grocery_net|48.69|0|fraud_Wiegand-Lowe|37.017163|-83.320034
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|91c0ece88e0ffb1493e6e6de88a95452|2024-03-12|11:04:20|1710209060|gas_transport|51.72|0|fraud_Robel, Cummerata and Prosacco|37.509882|-83.153166
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|30b03a86ffb26eb884e9e1d4cb89eec1|2024-05-16|00:35:52|1715787352|misc_net|48.78|0|fraud_Kerluke, Considine and Macejkovic|36.724696|-83.617896
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|a213af29d4d4aa0468d4817c5cd5b247|2024-01-22|01:37:23|1705855043|gas_transport|52.97|0|fraud_Eichmann, Bogan and Rodriguez|37.477753|-82.454085
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|6f9bed8ca24d920f8dabd2df405c2718|2024-03-16|04:13:21|1710530001|grocery_net|78.65|0|fraud_Kutch-Hegmann|38.047145|-83.574950
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|898001b9884843d7fcf7e221c7d0428b|2024-03-16|06:17:44|1710537464|grocery_net|76.35|0|fraud_Rowe-Vandervort|37.103596|-82.055305
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|95828a2911fd0029372a48143f352f4f|2024-03-25|01:18:32|1711297112|grocery_net|31.94|0|fraud_Funk Group|38.121972|-82.861361
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|9c5fcc3f8de1d7f328d009a8d44e7a91|2024-02-09|07:29:06|1707431346|gas_transport|52.00|0|fraud_Zieme, Bode and Dooley|38.122219|-82.872378
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|0618c62817b211f5c71cba9b9ef6a803|2024-02-02|08:35:50|1706830550|gas_transport|65.80|0|fraud_Eichmann, Bogan and Rodriguez|36.417818|-83.704588
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|77b0fb6b252b35f8bb963bcaea364249|2024-02-04|01:22:45|1706977365|gas_transport|44.79|0|fraud_Erdman-Kertzmann|36.952209|-82.431799
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|666716be51e00c7401f1532eb49b9f50|2024-04-11|08:14:00|1712790840|grocery_pos|77.93|0|fraud_DuBuque LLC|36.612084|-83.414233
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|96ad56536b9e1f7654f29580ee4d34bb|2024-01-13|05:15:50|1705090550|gas_transport|47.57|0|fraud_Harris Inc|36.466676|-82.661036
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|ae044b453e9fca761e9cbf6f339888dd|2024-04-07|04:06:43|1712430403|grocery_pos|82.10|0|fraud_Rutherford-Mertz|37.637419|-82.581849
533-73-7870|4693168151649190706|Mackenzie|Mckee|F|96492 Kara Light Suite 190|Pippa Passes|KY|41844|37.3491|-82.8742|1355|Colour technologist|1988-11-06|719315933515|adults_2550_female_rural.json|f9e46f8d8b6921d1bf679071b98c3bde|2024-04-08|07:05:36|1712527536|grocery_pos|69.34|0|fraud_Schoen, Kuphal and Nitzsche|37.233099|-82.160999
