ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|af3063a61b8030fe561a4d2cfe34fc16|2024-06-26|03:15:05|1719339305|grocery_pos|337.41|1|fraud_Schoen, Kuphal and Nitzsche|39.441232|-80.195068
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|284c29fd82624e30281e9e6ce63a7670|2024-06-26|02:22:56|1719336176|grocery_pos|297.56|1|fraud_Bauch-Raynor|40.869687|-80.349139
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|b95a28014e977ed38db5d69d82c19b1f|2024-06-27|22:57:14|1719496634|shopping_pos|307.15|1|fraud_Macejkovic-Lesch|40.477760|-79.617090
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|4419d59a03415fb39e1e794878c889aa|2024-06-26|23:17:19|1719411439|misc_net|787.03|1|fraud_Block-Parisian|40.611401|-80.262750
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|acc6920a560b3d3d7ed4687d2f664d4a|2024-06-26|22:25:56|1719408356|grocery_pos|770.38|1|fraud_Koepp-Witting|41.112743|-80.255363
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|8a8f6cf2936d154c4274835ad9193713|2024-06-26|23:04:55|1719410695|misc_net|793.91|1|fraud_Corwin-Gorczany|40.433291|-80.952655
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|9f82c86653d3640c13254789a388dfbc|2024-06-26|22:44:27|1719409467|misc_net|702.42|1|fraud_Mante Group|39.469285|-79.843448
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|61a40aa99f2de0acaf7c0c80a8fb4fba|2024-06-27|23:43:13|1719499393|shopping_pos|819.93|1|fraud_Kihn Inc|40.224904|-81.388642
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|ac609494fb76dabffd3d71d32938ab87|2024-01-11|06:56:38|1704923798|gas_transport|68.82|0|fraud_Schaefer, McGlynn and Bosco|39.551976|-81.131549
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|303d9bfbd34cf09ecd3daa93aea58a9d|2024-06-17|10:03:32|1718586212|shopping_pos|67.00|0|fraud_Dooley Inc|40.253917|-80.675795
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|2afc101b4882da5c450be05033ee1f93|2024-06-30|07:51:59|1719701519|shopping_pos|69.38|0|fraud_Pacocha-Bauch|39.422400|-80.720273
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|689584943d16d89386021ebdeadd6085|2024-05-28|03:51:45|1716835905|shopping_net|65.52|0|fraud_Terry-Huel|39.900591|-80.444957
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|b29bf4df7b7120d9777454d6f8466519|2024-05-26|02:55:19|1716659719|shopping_net|73.29|0|fraud_Towne, Greenholt and Koepp|40.688225|-81.530454
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|e4dc4da0a2436f1fd6fc5f151a93e2f5|2024-06-02|00:12:37|1717254757|shopping_net|68.33|0|fraud_Streich, Dietrich and Barton|41.085737|-81.499395
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|f01f1c1852651a3f0cc9291091fd6a3d|2024-02-17|02:36:40|1708105000|grocery_pos|73.75|0|fraud_Kuhic Inc|40.307439|-80.984851
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|35f03d47e22138b8b67b653a20d6fda3|2024-02-11|09:25:47|1707611147|grocery_net|70.01|0|fraud_McCullough Group|39.922983|-80.746966
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|367f7ed1bd26793dddb7b281de449d6c|2024-06-19|06:28:38|1718746118|shopping_pos|68.63|0|fraud_Bins, Balistreri and Beatty|40.379895|-80.019954
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|b8538753045248e88c9fee6a4f882a27|2024-06-10|03:45:15|1717958715|shopping_net|69.74|0|fraud_Baumbach, Feeney and Morar|40.083012|-80.026550
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|b97cc68e91dd3edbfac47280a0e384eb|2024-05-24|03:57:28|1716490648|shopping_net|66.23|0|fraud_Heathcote, Yost and Kertzmann|40.221724|-81.133780
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|82754887707bca21d840fcb3b7841f20|2024-04-29|11:52:38|1714359158|misc_pos|72.12|0|fraud_Yost, Block and Koepp|40.375440|-80.090184
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|27aabb73e1738da91fd6faca91971ef1|2024-01-24|00:31:41|1706023901|grocery_net|66.49|0|fraud_Towne, Walker and Borer|39.797319|-80.883387
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|80e7b7d0d5fe40cfe8aeefc32bacad47|2024-03-09|00:19:16|1709911156|grocery_pos|68.53|0|fraud_Wolf Inc|39.746061|-81.118082
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|399b7b73f8deefae0d06b1521744b84e|2024-02-16|08:34:04|1708040044|grocery_pos|70.22|0|fraud_Heidenreich PLC|39.300572|-81.173759
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|9ea5648824c9873e77393b879d827d85|2024-02-20|03:48:38|1708368518|grocery_pos|66.11|0|fraud_Schumm, Bauch and Ondricka|40.206582|-79.761143
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|3ec9ae40e4fe9b43cf1aab2547fcb310|2024-02-09|10:59:36|1707443976|grocery_net|75.35|0|fraud_Pfeffer LLC|40.116442|-79.663108
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|0907c11f0d6d7af97c2e3e112332576c|2024-03-19|05:15:32|1710792932|grocery_pos|71.66|0|fraud_Heidenreich PLC|39.846197|-79.810570
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|406ca27cb9dfe3d8c09375001f1a3f41|2024-01-31|01:50:32|1706633432|grocery_net|74.43|0|fraud_McCullough Group|39.624687|-81.274975
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|1502b7f345ea41ebe1ce6db8b54e9460|2024-02-24|05:22:07|1708719727|grocery_pos|74.56|0|fraud_Huel, Hammes and Witting|41.089127|-79.695287
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|22cf29ae0671825f3c5dd59601d9f899|2024-03-30|03:20:52|1711736452|grocery_pos|80.03|0|fraud_Huel, Hammes and Witting|39.262945|-81.270174
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|ac059428cf52c34373f67b08ea7b3dce|2024-01-04|06:11:35|1704316295|gas_transport|67.34|0|fraud_Bins-Rice|39.297586|-80.961360
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|61b36ac7dffc3375f4f315267832b66f|2024-07-05|03:25:26|1720117526|shopping_pos|68.67|0|fraud_Conroy Ltd|39.762179|-80.669274
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|5eaaf291e177d31d00e65ff8a8a4c06d|2024-05-25|10:49:58|1716601798|shopping_net|65.43|0|fraud_Predovic Inc|41.203006|-80.945685
282-23-9207|30221226112387|Devin|Gibson|M|990 Jeffrey Oval Suite 793|Bethany|WV|26032|40.2107|-80.5503|1243|Early years teacher|1978-01-29|228771153327|adults_2550_male_rural.json|39a0b75e6f786019da7c91cff5fc6df9|2024-04-21|04:23:03|1713640983|misc_pos|62.39|0|fraud_Simonis-Prohaska|40.504996|-81.192349
