ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|ad293c1c6804f6ba12ccedeedcd9cace|2024-02-15|00:34:22|1707924862|grocery_pos|19.44|1|fraud_Moen, Reinger and Murphy|37.529715|-78.741416
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|bbfb458294bf8af9f4610c2caa137d6b|2024-02-15|02:57:28|1707933448|grocery_pos|18.91|1|fraud_Strosin-Cruickshank|37.356053|-78.438878
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|523add3a04ecfaf215f603329de0ab89|2024-02-15|03:18:55|1707934735|grocery_pos|335.00|1|fraud_Casper, Hand and Zulauf|38.818803|-78.475401
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|1c9b6f7dd0428bdc4dc486d3e470fc3a|2024-02-15|00:15:06|1707923706|gas_transport|337.45|1|fraud_Friesen-Stamm|38.255883|-79.167274
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|3000f9269d218247bb33301593e3d89e|2024-02-15|02:13:36|1707930816|gas_transport|289.07|1|fraud_Eichmann, Bogan and Rodriguez|38.382713|-78.386256
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|03e7d0a13cd3745eabf7e84546445d5b|2024-02-16|23:57:50|1708095470|misc_net|741.72|1|fraud_Corwin-Gorczany|39.233493|-79.848169
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|4bd6ddfdd47133f23cbb14c311668277|2024-02-16|22:51:37|1708091497|shopping_net|758.97|1|fraud_Gottlieb, Considine and Schultz|38.474656|-78.819219
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|6d067e9db03f5f2f2e735c7fb7488e38|2024-02-16|22:38:25|1708090705|home|48.77|1|fraud_Reilly LLC|38.087017|-78.961830
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|bde781908f6e30a99cb54305b4d0e443|2024-02-16|23:20:17|1708093217|shopping_net|1110.90|1|fraud_Kihn, Abernathy and Douglas|38.363602|-78.446724
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|9386fdd5c85162703c10e9d2892a00cb|2024-02-16|18:17:38|1708075058|misc_net|1072.29|1|fraud_Kerluke PLC|37.776032|-78.834553
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|57cca252126ce2c06e188ef834cd21ed|2024-02-16|13:50:50|1708059050|shopping_net|987.87|1|fraud_Towne, Greenholt and Koepp|38.522368|-78.235863
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|5e3d28ab853c760ade0547b5db3b2986|2024-02-16|23:23:45|1708093425|shopping_net|917.80|1|fraud_Hills-Witting|38.467803|-79.495584
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|86dc78ec4f0a76d5827eb4bccecbd248|2024-02-16|22:51:10|1708091470|misc_pos|359.98|1|fraud_Wiza, Schaden and Stark|37.716464|-78.581919
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|9bc9756620b4d386e33c5e973c365212|2024-04-07|00:49:08|1712418548|grocery_pos|58.51|0|fraud_Bauch-Raynor|37.973226|-79.344158
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|e8e3bcfada30d3a0f5b24b0563ef7bd3|2024-03-17|01:14:05|1710605645|grocery_pos|66.34|0|fraud_Lockman, West and Runte|39.091333|-78.349230
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|a4e70efa4c52672bba513c8d44dde63e|2024-02-02|04:44:18|1706816658|gas_transport|44.10|0|fraud_Kling Inc|38.842234|-78.154195
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|0d51c60f6791dec7bb0c116ef4cb54da|2024-04-08|08:36:24|1712532984|grocery_pos|75.20|0|fraud_Miller-Hauck|38.187460|-79.016619
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|162515146c58d7c280036743105f4dea|2024-03-23|07:16:41|1711145801|grocery_pos|59.77|0|fraud_Stracke-Lemke|38.974092|-79.240693
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|aa7e594f4c0a52853bfccfb620e47010|2024-04-04|03:52:41|1712170361|grocery_pos|58.50|0|fraud_Schumm, Bauch and Ondricka|38.902097|-79.073758
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|0d56fabbea2e065750d4f13b7de27a93|2024-06-12|09:07:44|1718150864|shopping_net|78.77|0|fraud_Fisher-Schowalter|38.988030|-78.221977
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|236f41c43cf6a52bee62c087950648c5|2024-05-10|07:32:25|1715293945|misc_net|55.53|0|fraud_Klocko LLC|37.768553|-79.955322
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|5252065426e9359fbcb04abcb61d75fd|2024-06-06|03:46:24|1717613184|shopping_net|78.46|0|fraud_Heathcote, Yost and Kertzmann|38.266597|-78.428986
273-40-0008|6589942532836938|Abigail|Garrett|F|18721 Ashley Stream|Mount Solon|VA|22843|38.3328|-79.1028|2458|Energy engineer|1967-06-17|20310277626|adults_50up_female_rural.json|969e0d69acc91f8353b75c683ef593d6|2024-05-19|10:41:50|1716082910|misc_pos|44.20|0|fraud_Nienow, Ankunding and Collier|38.952803|-80.062160
