ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|bd92faa7768738c2d2c08ddedf9f9569|2024-07-15|01:48:08|1720975688|gas_transport|16.52|1|fraud_Christiansen, Goyette and Schamberger|40.420556|-97.355150
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|54a9bcb352e649c35958244f0d0941ef|2024-07-16|23:27:01|1721140021|shopping_pos|314.20|1|fraud_Torphy-Goyette|39.681138|-96.352920
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|e1d96a8638b3b3169456989104277b72|2024-07-15|22:20:09|1721049609|grocery_pos|954.18|1|fraud_Miller-Hauck|40.730260|-96.166708
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|70d24797ef26dbf3149948d5d9e36350|2024-07-16|17:17:17|1721117837|shopping_pos|897.15|1|fraud_Botsford Ltd|40.507110|-97.026094
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|9b1cf186e40ce14db6de54ef5643e5ff|2024-07-01|05:26:33|1719779193|shopping_pos|47.04|0|fraud_Jewess LLC|39.725180|-97.058252
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|f1ff5dead44e8faef81023d9aebdb9ec|2024-06-06|10:25:04|1717637104|shopping_net|64.41|0|fraud_Labadie, Treutel and Bode|40.745220|-96.264708
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|d17be02b102fa51707a35d0f9e069575|2024-06-19|02:16:47|1718731007|shopping_net|47.59|0|fraud_Jast Ltd|39.963455|-96.569869
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|9ad66e6d1f67ccacf85f19b6558892b5|2024-03-19|07:03:07|1710799387|grocery_pos|51.98|0|fraud_Auer-Mosciski|41.369953|-97.601860
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|8c8706b4c7aa17854bdd3a691c719dff|2024-07-18|11:43:55|1721270635|shopping_pos|44.67|0|fraud_Kuhn LLC|41.334258|-97.613297
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|a26e6370f8994d8ae2fce214f48dcb8e|2024-01-24|02:27:34|1706030854|gas_transport|60.81|0|fraud_Olson, Becker and Koch|39.926595|-97.964847
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|513561634da60c3a7c337808c4ac718f|2024-05-17|09:38:10|1715906290|misc_net|48.53|0|fraud_Durgan-Auer|40.352530|-96.953810
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|a22a35df9d3d98d954d54aa1ef30542f|2024-07-09|06:08:12|1720472892|shopping_pos|49.94|0|fraud_Kris-Padberg|41.479138|-97.231746
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|fc1f8d8e29fe1c457d02cc8b7a244c00|2024-03-20|04:42:49|1710877369|grocery_pos|38.92|0|fraud_Kutch and Sons|41.187567|-97.522096
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|c5ad5dd58457ddc83165a632f62394af|2024-05-06|11:22:16|1714962136|misc_net|40.94|0|fraud_Dach-Nader|40.074431|-96.131930
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|2ed12760a58b57f3eacdf53bf1b020f6|2024-06-17|04:51:00|1718567460|shopping_net|47.96|0|fraud_Streich, Dietrich and Barton|40.522297|-96.892158
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|e770a9507924eef80952d082ef5d7b3e|2024-03-31|06:00:13|1711832413|grocery_pos|52.30|0|fraud_Strosin-Cruickshank|40.315478|-97.971884
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|0461f781cfabc4b77bd4a3e03b2f3bc6|2024-01-20|08:09:13|1705705753|gas_transport|53.14|0|fraud_Torp-Labadie|41.269088|-97.652724
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|229b03c16f455c95c65a52e58e48f305|2024-01-20|01:59:06|1705683546|gas_transport|53.98|0|fraud_Brekke and Sons|40.932229|-96.049470
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|128fcc420e21b025a13af8967dfd93ab|2024-02-06|11:33:30|1707186810|gas_transport|47.45|0|fraud_Heller-Langosh|41.119003|-96.481718
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|8979d1234bfe80ce105cf845eba520e3|2024-06-16|11:24:40|1718504680|shopping_net|69.02|0|fraud_Kuhic, Bins and Pfeffer|41.282092|-96.561361
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|a46d973147aa494870344eb37dfdfde0|2024-06-30|06:14:52|1719695692|shopping_pos|49.45|0|fraud_Barrows PLC|40.407759|-97.148543
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|560756df0793abdc0dbfb7f9fe25a253|2024-05-11|00:36:37|1715355397|misc_net|52.23|0|fraud_Kuhn LLC|40.356019|-96.611581
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|76a1eec39b393e87b3b64295cb79520c|2024-01-06|08:22:13|1704496933|gas_transport|41.47|0|fraud_Marks Inc|41.336559|-96.810013
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|f1070cf86d225f7d2deec07fbeff4412|2024-07-17|09:10:35|1721175035|shopping_pos|41.41|0|fraud_Kihn Inc|41.148395|-97.252155
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|6c337be2862f0f2cf9ba8ec5ce558661|2024-07-10|03:25:18|1720549518|shopping_pos|66.02|0|fraud_Barrows PLC|41.251404|-97.702824
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|9a707f60c4eccb58e64db8d19b215451|2024-01-06|08:33:22|1704497602|gas_transport|55.31|0|fraud_Stroman, Hudson and Erdman|40.631918|-97.162101
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|836163c6542095267a5c36e7d4967b84|2024-05-12|09:59:21|1715475561|misc_net|96.15|0|fraud_Lebsack and Sons|41.177334|-97.236681
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|a060c75ccb1e54195cad7b6612c3ceda|2024-02-25|04:00:39|1708801239|gas_transport|64.12|0|fraud_Reilly, Heaney and Cole|41.174834|-96.931283
818-81-3948|6520666102011745|Jacob|Nunez|M|7731 Daniel Stream|Wilber|NE|68465|40.4821|-96.9757|2404|Airline pilot|1959-10-26|57578287167|adults_50up_male_rural.json|62d5d58892e7043a203212c19c1ca783|2024-04-21|09:04:12|1713657852|grocery_pos|43.38|0|fraud_Heidenreich PLC|40.335216|-97.680172
