ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
026-95-4507|4218196001337|Kathy|Johnson|F|863 Lawrence Valleys|Waukesha|WI|53188|43.0128|-88.2705|95015|Accounting technician|1970-04-21|888022315787|adults_50up_female_urban.json
433-44-4553|4511615594078163|Angela|Carter|F|310 Kendra Common Apt. 164|Farmington|NY|14425|42.958|-77.3083|10717|Professor Emeritus|1937-01-27|917558277935|adults_50up_female_urban.json
380-46-3433|4192832764835035|Rodney|Trujillo|M|1395 Diana Locks Suite 242|San Francisco|CA|94105|37.7864|-122.3892|805301|Fine artist|1978-04-20|617380026649|adults_2550_male_urban.json
765-75-7020|3553287101226916|James|Carlson|M|480 Erin Plain Suite 514|Branford|CT|06405|41.28|-72.8106|27860|Presenter, broadcasting|1986-09-28|498895488714|adults_2550_male_urban.json
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Kihei|HI|96753|20.7441|-156.4475|26892|Information systems manager|1998-01-31|61157982007|adults_2550_female_urban.json
581-11-1404|3518227824896383|Pedro|Vaughn|M|5787 John Circles Suite 098|Midland|TX|79706|31.8816|-102.0134|134281|Event organiser|1978-02-21|243045499634|adults_2550_male_urban.json
725-81-0965|4051834738295|Kenneth|Sanchez|M|3116 Henderson Mountain Apt. 106|Fullerton|CA|92835|33.8994|-117.9063|134733|Librarian, academic|1969-03-07|948331323761|adults_50up_male_urban.json
197-25-8787|30262473178101|Marissa|Fernandez|F|32677 Michelle Circle|Saint Louis|MO|63119|38.5893|-90.3481|927396|Development worker, international aid|1950-10-14|1627677155|adults_50up_female_urban.json
272-59-4674|6523430980500973|Kathryn|Farrell|F|81219 Emma Freeway|Altadena|CA|91001|34.1912|-118.1392|36126|Operations geologist|1932-02-14|626594012825|adults_50up_female_urban.json
609-06-1344|6543534624751078|Lisa|Hart|F|83842 Ibarra Gardens|Afton|TN|37616|36.2265|-82.7476|4874|Merchant navy officer|1962-04-12|173022703378|adults_50up_female_urban.json
557-91-4957|3584124118244934|Mitchell|Harris|M|740 Cynthia Village Suite 005|Las Vegas|NV|89144|36.1781|-115.3184|1417793|Conservator, furniture|1988-03-05|177218748445|adults_2550_male_urban.json
565-91-7008|213111280598267|Cameron|Parker|M|3315 Dickson Summit|Cromwell|CT|06416|41.6105|-72.6663|14005|Designer, fashion/clothing|2001-11-25|950204551500|young_adults_male_urban.json
820-23-6756|503856342160|Shane|Garrison|M|75433 Donna Locks|Bethel|VT|05032|43.8195|-72.6528|2664|Land/geomatics surveyor|1949-02-22|950384363434|adults_50up_male_urban.json
792-36-5754|4850142940196556|Jeffrey|Joyce|M|9340 Smith Valley|Somerville|MA|02143|42.3829|-71.1028|73844|Solicitor|1988-10-08|793224011429|adults_2550_male_urban.json
755-86-3229|371595148465644|Kristen|Lee|F|299 Sullivan Village Apt. 443|Murphysboro|IL|62966|37.7655|-89.3317|15607|Planning and development surveyor|1959-12-23|639029968283|adults_50up_female_urban.json
330-60-7239|30387214895133|Michael|Walker|M|00379 Stanley Roads|Westwood|NJ|07675|41.0092|-74.0041|26339|Teaching laboratory technician|1961-06-21|786814108140|adults_50up_male_urban.json
507-52-3998|4163287083172781|William|Larson|M|868 Merritt Summit Suite 743|Portland|OR|97230|45.5472|-122.5001|841711|Health and safety inspector|1990-10-03|857987636625|adults_2550_male_urban.json
642-31-4500|30143455812232|Janet|Hernandez|F|66587 Brown Village|San Marcos|CA|92069|33.1444|-117.1697|89275|Petroleum engineer|1945-04-17|993810235531|adults_50up_female_urban.json
713-03-9433|6505466889373460|Karla|Price|F|272 Rebecca Ramp Apt. 162|Portland|TX|78374|27.8935|-97.3169|16620|Psychologist, clinical|1962-08-18|52320127777|adults_50up_female_urban.json
336-28-7450|376464170805315|Rachael|Pearson|F|30923 Thomas Crescent|Apache Junction|AZ|85119|33.4001|-111.5028|49387|Surveyor, rural practice|1999-08-20|240293786713|adults_2550_female_urban.json
263-99-6044|4241904966319315|Melissa|Turner|F|058 Stanley Cliff|Thoreau|NM|87323|35.3976|-108.1604|4558|Risk manager|1972-11-10|376443331852|adults_50up_female_urban.json
431-63-1730|6572628498776940|Erica|Sanchez|F|7379 Rogers Park|Los Angeles|CA|90057|34.0622|-118.2763|2383912|Journalist, broadcasting|1957-04-27|533356940935|adults_50up_female_urban.json
817-34-5577|4808313678377701435|Jared|Sanchez|M|8856 Bell Motorway Suite 443|Stillwater|MN|55082|45.0614|-92.8474|35024|Community arts worker|1953-05-29|213551290143|adults_50up_male_urban.json
761-69-3034|4749894134350|Christopher|Smith|M|0084 Dana Terrace|Chester|SC|29706|34.7149|-81.2186|19847|Recycling officer|1958-01-17|958218317578|adults_50up_male_urban.json
292-61-7844|30520471167198|Lori|Brown|F|413 Angela Mall|Hollywood|FL|33024|26.0296|-80.2489|420284|Trading standards officer|1978-04-24|870143739098|adults_2550_female_urban.json
795-67-6233|38496499091334|Dennis|Miller|M|81206 Norris Mountains|Mineral Wells|TX|76067|32.8103|-98.0631|22117|Horticulturist, amenity|1964-10-08|253543257595|adults_50up_male_urban.json
290-90-7439|2244936183242103|Christopher|Parker|M|1746 Mason Park Suite 190|Minneapolis|MN|55443|45.1194|-93.3431|1022298|Podiatrist|2000-05-07|355342117469|adults_2550_male_urban.json
027-12-3751|4490278742967178|Gregory|Cook|M|56746 Shawn Island|Long Island City|NY|11109|40.7454|-73.9575|29007|Forensic psychologist|1947-05-24|125942501921|adults_50up_male_urban.json
414-66-0019|4603859770348243|Jeffrey|Wolfe|M|93248 Andrea Course|Detroit|MI|48238|42.3959|-83.1411|673342|Equality and diversity officer|1945-09-26|927679680601|adults_50up_male_urban.json
473-16-2523|30484677378267|Cheryl|Greene|F|46584 Justin Hills|Storrs Mansfield|CT|06269|41.808|-72.251|21325|Theatre manager|1975-04-12|539705335953|adults_50up_female_urban.json
458-69-7936|378867533963605|Emily|Kennedy|F|2702 Kane Well Suite 187|Baldwin Park|CA|91706|34.0964|-117.9682|76571|Administrator, local government|1992-01-23|157721695267|adults_2550_female_urban.json
671-20-1226|30459615865781|Andrew|Jones|M|16117 Heather Burgs Apt. 504|Reno|NV|89501|39.5268|-119.8113|276896|Mechanical engineer|1982-06-15|474056332778|adults_2550_male_urban.json
544-53-9273|4221969379237473|David|Smith|M|8217 Huerta Hills Suite 474|Indianapolis|IN|46219|39.7821|-86.0495|910148|Engineer, civil (contracting)|1977-09-17|425199071794|adults_2550_male_urban.json
110-31-6249|3594406409097438|Lisa|Gomez|F|421 Kyle Mill|Elizabeth|NJ|07208|40.6747|-74.2239|124967|Analytical chemist|1990-10-04|401921209060|adults_2550_female_urban.json
093-38-5353|3523285884247452|Regina|Mcdonald|F|36851 Smith Plain|Chardon|OH|44024|41.5719|-81.2056|23557|Community pharmacist|1969-09-03|405680216951|adults_50up_female_urban.json
689-34-9578|6513709859317466|Audrey|Williams|F|7113 Paul Land|Randolph|NJ|07869|40.8456|-74.5725|25291|Sound technician, broadcasting/film/video|1986-02-26|646045230097|adults_2550_female_urban.json
159-54-1623|36405377351589|Stephanie|Newman|F|4317 Elizabeth Row|Norristown|PA|19401|40.1245|-75.3304|86013|Therapist, speech and language|2003-12-05|25645650502|young_adults_female_urban.json
342-32-2064|3518393352904229|Joshua|Lindsey|M|020 Tyler Freeway|Halethorpe|MD|21227|39.2309|-76.6969|33534|Theatre stage manager|1967-04-16|18570457049|adults_50up_male_urban.json
054-17-6898|213117758917830|Theresa|Williams|F|0076 Parks Overpass Suite 115|Troy|PA|16947|41.7782|-76.7711|4818|Translator|1966-06-10|69356565695|adults_50up_female_urban.json
640-82-9591|180069847896112|Samuel|Curtis|M|7365 Ross Stream|Davenport|IA|52806|41.5733|-90.6038|102516|Chief of Staff|1942-03-21|469493820213|adults_50up_male_urban.json
262-48-2501|4111161528098856|Meagan|Jenkins|F|049 Bell Ports Apt. 273|Lexington|SC|29072|33.9724|-81.2359|90341|Clinical cytogeneticist|2000-12-20|929216664078|young_adults_female_urban.json
118-98-4565|3568998094024455|Heather|White|F|612 Christopher Pines|York|SC|29745|34.9947|-81.2245|28919|Engineer, structural|1963-03-08|461177243339|adults_50up_female_urban.json
162-48-5106|3599102290147672|Lisa|Perry|F|156 Justin Springs|West Valley|NY|14171|42.4315|-78.628|2077|Therapist, horticultural|1981-07-27|577615689420|adults_2550_female_rural.json
047-29-6476|3503432445107627|Carl|Patel|M|851 Hensley Canyon|Billerica|MA|01821|42.5519|-71.2518|30310|Press photographer|1946-01-04|502591667934|adults_50up_male_urban.json
883-41-9434|6564160529751619|David|Chapman|M|4535 Charles Roads|Forest|VA|24551|37.3379|-79.2791|20667|Clothing/textile technologist|1982-06-28|560624678846|adults_2550_male_urban.json
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Findlay|OH|45840|41.0449|-83.6457|54979|Management consultant|1983-12-10|79488406665|adults_2550_female_urban.json
463-05-0933|371199867980790|Matthew|Morris|M|207 Lisa Villages Suite 182|Huntington Beach|CA|92649|33.718|-118.0505|190249|Archaeologist|2005-12-01|778453131767|young_adults_male_urban.json
450-68-8565|3555466590515181|Michael|Mitchell|M|1925 Ponce Square|Eugene|OR|97408|44.1445|-123.0545|191096|Nurse, children's|2002-03-01|653388872137|young_adults_male_urban.json
087-40-9158|6528168505423579|Corey|Cooke|M|41888 Ebony Wells|Fontana|CA|92335|34.0794|-117.4551|221665|Waste management officer|1975-01-27|653397880348|adults_50up_male_urban.json
167-24-2713|3506537947383471|Stuart|Lee|M|4688 Burch Viaduct Apt. 924|Milwaukee|WI|53212|43.0712|-87.9084|817312|Associate Professor|1970-08-09|531034820387|adults_50up_male_urban.json
