ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|bb80dd5043fce352087a49881fde2583|2024-03-11|02:40:23|1710092423|grocery_pos|302.01|1|fraud_Schamberger-O'Keefe|42.441818|-88.215458
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|0300439d1d1aff297c945ddb127a70ae|2024-03-11|02:18:12|1710091092|grocery_pos|270.65|1|fraud_Koepp-Witting|43.256006|-88.570523
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|af08a164be20bc94e9d759f5e74e8472|2024-03-11|23:50:39|1710168639|misc_net|666.76|1|fraud_Miller-Harris|42.678322|-88.047365
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|85e9d103e1eb88156ad5cdb9f367041f|2024-03-12|23:47:18|1710254838|shopping_net|915.01|1|fraud_Towne, Greenholt and Koepp|41.541453|-88.337118
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|e264d7b0b933a9a7d7376174d388b7ae|2024-03-12|22:39:32|1710250772|shopping_net|892.83|1|fraud_Reichert, Rowe and Mraz|43.364968|-87.950331
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|d7de25459f30cb5fc4f60a75407904c6|2024-01-02|06:15:09|1704143709|gas_transport|55.74|0|fraud_Robel, Cummerata and Prosacco|43.347517|-87.604499
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|295fe71f808879655754b29b63b116a7|2024-01-27|02:06:22|1706288782|gas_transport|69.85|0|fraud_Huels-Hahn|41.672400|-88.518774
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|830e70de85c522cf1c61005091d0f8da|2024-01-12|05:34:02|1705005242|gas_transport|83.48|0|fraud_Prohaska-Murray|42.491195|-88.840444
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|bb976ba8a68e5ee38fe9e5515b1216f5|2024-01-28|05:10:44|1706386244|gas_transport|37.09|0|fraud_Bartoletti-Wunsch|41.823704|-88.789850
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|e161c5eb19d42a3870b74fe3afd950b7|2024-02-25|10:17:55|1708823875|gas_transport|54.58|0|fraud_Kutch, Hermiston and Farrell|41.589114|-88.902724
587-87-0597|4845211294435400625|Michele|Walsh|F|8819 Lisa Lights Apt. 760|Hebron|IL|60034|42.4642|-88.4176|2040|Horticultural consultant|2004-09-30|716509947917|young_adults_female_rural.json|5052b6fcdc984b5fef5ec422e365e577|2024-01-11|01:58:42|1704905922|gas_transport|46.60|0|fraud_Cummerata-Jones|41.991210|-87.880563
