ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json|f7f017dc9811be3fe1884ae98b3ececb|2024-12-01|02:03:16|1732986196|grocery_pos|11.87|1|fraud_Koepp-Parker|40.044709|-78.988043
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json|0e78d6bf2db1621f1d5673a160a3107b|2024-12-01|03:15:03|1732990503|gas_transport|331.72|1|fraud_Bartoletti-Wunsch|39.317607|-78.861196
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json|2a5d9e9a994701044be5c7d6838ca239|2024-12-01|03:35:02|1732991702|grocery_pos|302.04|1|fraud_Schamberger-O'Keefe|39.209576|-79.371104
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json|9159a167679a2d442d3406632c2b1ac1|2024-12-01|03:40:51|1732992051|grocery_pos|296.57|1|fraud_Lockman, West and Runte|41.001163|-78.004383
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json|900dda2073837b121e92acc10f63295c|2024-12-01|22:34:50|1733060090|shopping_net|717.68|1|fraud_Goyette Inc|40.805940|-77.988996
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json|2a2b558efa7d7f92bbd5d089aa9e027c|2024-12-01|22:39:20|1733060360|misc_net|1118.50|1|fraud_Nader-Heller|40.346297|-78.008767
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json|65b09e094cfb78b3acdd8a2ca237377a|2024-12-02|22:21:57|1733145717|shopping_net|1004.79|1|fraud_Boyer-Reichert|40.119532|-79.202166
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json|8c35d7a7722701cbfa66ac10e955096d|2024-12-02|23:56:49|1733151409|shopping_net|985.77|1|fraud_Rempel Inc|40.873735|-79.417953
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json|a3753bd3f6b2b3b3baca900d76042599|2024-12-02|23:55:05|1733151305|shopping_net|1034.07|1|fraud_Schmeler, Bashirian and Price|39.974116|-78.089549
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json|66ee3d3d257cd54c8c0693b7166bc819|2024-12-02|23:33:08|1733149988|entertainment|912.57|1|fraud_Abbott-Rogahn|39.177713|-79.115083
